Uncurated-gene-id	Uncurated-gene-uniprot-id	Uncurated-gene-synonims	Biocyc-gene-sinomys	Pathway-Biocyc-label	Pathway-Biocyc-id	Reaction-Biocyc-label	Reaction-Biocyc-id	EV-COMP-HINF-SEQ-ORTHOLOGY	EV-EXP-IDA-UNPURIFIED-PROTEIN-NH	EV-EXP-IDA-PART-PURIFIED-PROTEIN-HH	EV-EXP-TAS	EV-EXP-IDA-PURIFIED-PROTEIN	EV-AS-TAS	EV-EXP-IDA-PURIFIED-PROTEIN-NH	EV-COMP-HINF-ORTHOLOGY-EXP	EV-EXP-IDA-PURIFIED-PROTEIN-HH	EV-COMP-HINF-FN-FROM-SEQ	EV-COMP-AINF	EV-EXP-IDA-UNPURIFIED-PROTEIN	EV-EXP-IMP	EV-EXP-IMP-REACTION-ENHANCED	EV-EXP-IMP-REACTION-BLOCKED	EV-EXP-IDA-PART-PURIFIED-PROTEIN-NH	EV-EXP-IPI	EV-EXP-IGI-FUNC-COMPLEMENTATION	EV-EXP-IDA	EV-EXP-IDA-UNPURIFIED-PROTEIN-HH
PTPRT	O14522	['PTPRT', 'KIAA0283']	['PTPRT', 'KIAA0283']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
MAP3K13	O43283	['MAP3K13', 'LZK']	['MAP3K13', 'LZK']			2.7.11.25-RXN	2.7.11.25-RXN																				
GREM1	O60565	['GREM1', 'CKTSF1B1', 'DAND2', 'DRM', 'PIG2']	['GAMT', 'PIG2']	creatine biosynthesis	GLYCGREAT-PWY	GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN	GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN															GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN					
RECQL4	O94761	['RECQL4', 'RECQ4']	['RECQL4', 'RECQ4']			RXN0-4261	RXN0-4261																				
ROS1	P08922	['ROS1', 'MCF3', 'ROS']	['ROS1', 'MCF3', 'ROS']			2.7.10.1-RXN	2.7.10.1-RXN																				
STK40	Q8N2I9	['STK40', 'SGK495', 'SHIK']	['STK40', 'SGK495', 'SHIK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
FUBP1	Q96AE4	['FUBP1']	['FUBP1', 'FUBP', 'FBP']			RXN-11135	RXN-11135																				
ALK	Q9UM73	['ALK']	['ALK']			2.7.10.1-RXN	2.7.10.1-RXN																				
PXDNL	A1KZ92	['PXDNL', 'VPO2']	['PXDNL', 'VPO2']			PEROXID-RXN	PEROXID-RXN																				
UBE2QL1	A1L167	['UBE2QL1']	['UBE2QL1']	protein ubiquitylation	PWY-7511	RXN-15556	RXN-15556																				
HFM1	A2PYH4	['HFM1', 'SEC3D1']	['HFM1', 'SEC3D1']			RXN0-4261	RXN0-4261																				
TARSL2	A2RTX5	['TARSL2']	['TARSL2']	tRNA charging	TRNA-CHARGING-PWY	THREONINE--TRNA-LIGASE-RXN	THREONINE--TRNA-LIGASE-RXN																				
ISPD	A4D126	['ISPD']	['ISPD']	alpha-dystroglycan glycosylation	PWY-7981	2.7.7.40-RXN	2.7.7.40-RXN									2.7.7.40-RXN											
CDC14C	A4D256	['CDC14C', 'CDC14B2']	['CDC14C', 'CDC14B2']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
ASPDH	A6ND91	['ASPDH']	['ASPDH']			1.4.1.21-RXN	1.4.1.21-RXN																				
IRG1	A6NK06	['IRG1']	['IRG1']			ACONITATE-DECARBOXYLASE-RXN	ACONITATE-DECARBOXYLASE-RXN									ACONITATE-DECARBOXYLASE-RXN											
